network,content_id,genre_id,weekday_id,stratified_hour_id,y,n,leave_out_set
0,36,5,6,5,27,174,0
0,36,5,6,5,23,179,0
0,2,5,6,5,23,291,0
0,42,2,6,5,20,198,0
0,20,5,6,5,19,298,0
0,48,2,6,5,22,235,0
0,24,8,0,5,105,688,0
0,31,11,1,5,45,310,0
0,52,10,1,5,22,267,0
0,34,10,2,5,105,771,0
0,49,10,3,5,49,327,0
0,25,7,3,5,45,246,0
0,34,10,4,5,22,203,0
0,46,7,4,5,14,156,0
0,53,10,5,5,19,135,0
0,37,5,5,3,16,140,0
0,37,5,5,3,6,70,0
0,36,5,6,5,18,177,0
0,36,5,6,5,16,158,0
0,2,5,6,5,19,269,0
0,42,2,6,5,17,175,0
0,20,5,6,5,17,276,0
0,48,2,6,5,23,212,0
0,24,8,0,5,96,749,0
0,31,11,1,5,35,275,0
0,48,2,1,5,29,224,0
0,34,10,2,5,112,768,0
0,49,10,3,5,48,353,0
0,25,7,3,5,42,297,0
0,34,10,4,5,33,260,0
0,46,7,4,5,23,195,0
0,37,5,5,3,17,161,0
0,37,5,5,3,9,81,0
0,36,5,6,5,14,156,0
0,36,5,6,5,18,206,0
0,2,5,6,5,12,269,0
0,42,2,6,5,8,216,0
0,20,5,6,5,16,270,0
0,48,2,6,5,18,163,0
0,24,8,0,5,94,791,0
0,31,11,1,5,29,284,0
0,42,2,1,5,12,176,0
0,48,2,1,5,21,163,0
0,34,10,2,5,110,744,0
0,49,10,3,5,40,293,0
0,25,7,3,5,34,243,0
0,34,10,4,5,37,234,0
0,46,7,4,5,30,218,0
0,37,5,5,3,16,139,0
0,45,4,5,3,10,74,0
0,20,5,6,5,21,257,0
0,20,5,6,5,24,310,0
0,4,0,6,5,73,640,0
0,24,8,0,5,125,801,0
0,31,11,1,5,43,304,0
0,42,2,1,5,22,180,0
0,48,2,1,5,28,208,0
0,34,10,2,5,115,769,0
0,49,10,3,5,39,299,0
0,25,7,3,5,28,244,0
0,34,10,4,5,44,297,0
0,46,7,4,5,28,242,0
0,37,5,5,3,13,159,0
0,37,5,5,3,16,78,0
0,36,5,6,5,11,135,0
0,36,5,6,5,14,213,0
0,14,13,6,5,28,371,0
0,13,14,6,3,133,1598,0
0,24,8,0,5,98,752,0
0,31,11,1,5,33,297,0
0,42,2,1,5,18,189,0
0,48,2,1,5,23,182,0
0,34,10,2,5,108,760,0
0,49,10,3,5,45,339,0
0,25,7,3,5,52,278,0
0,34,10,4,5,31,247,0
0,46,7,4,5,21,168,0
0,37,5,5,3,22,151,0
0,37,5,5,3,11,100,0
0,8,14,6,1,107,1314,0
0,14,13,6,1,20,248,0
0,36,14,6,5,107,1314,0
0,13,14,6,5,107,1314,0
0,36,5,6,5,27,331,0
0,2,5,6,5,36,358,0
0,42,2,6,5,26,265,0
