Y,X
55.4194444444,7.3055555556
65.2111111111,5.5444444444
65.4833333333,6.9444444444
63.1496031746,6.7932539683
63.8963675214,5.4833333333
66.8700854701,4.3555555556
64.5712301587,4.6833333333
65.5458180708,4.8011904762
66.4094932845,3.7388888889
66.7476190476,5.8880952381
63.3849206349,10.9883047508
53.8111111111,13.05
40.7940476191,15.853968254
28.1222222222,21.3388888889
31.65,18.5674603175
46.7208333333,10.8666666667
55.4873015873,7.1277777778
63.7944444445,6.2888888889
64.605952381,6.6944444444
65.6107142857,6.6777777778
65.7341269841,5.6222222222
66.8801587302,5.1555555556
64.5833943834,4.7555555556
66.6058455433,4.2722222222
64.8011294261,3.6222222222
66.8634920635,5.7111111111
63.5944444445,9.3301587302
57.9888888889,11.4280830281
55.2932539683,10.8579365079
50.55,10.4611111111
52.5876984127,9.8904761905
55.0111111111,7.6888888889
65.5888888889,5.1222222222
66.6478632479,5.5555555556
66.5376984127,5.8119047619
66.9337301587,6.6111111111
65.9722222222,5.3833333333
63.910515873,3.85
63.1932539682,4.4611111111
60.7476190476,4.9833333333
66.4070818071,6.0908730159
64.2888888889,10.0912393162
59.9777777778,12.0015262515
52.1611111111,12.2222222222
42.7388888889,14.4222222222
29.4484126984,19.0021367521
39.7059523809,14.4833333333
54.0944444444,7.3444444444
60.8833333333,6.4222222222
65.7722222222,6.8043650794
64.8555555556,7.0722222222
66.5357142857,6.1246031746
65.0916666667,4.3513888889
65.5094627595,4.3111111111
66.0693223443,4.3206349206
65.9626068376,3.8611111111
67.921577381,6.0441964286
63.7,9.8557997558
57.4166666667,12.3476190476
53.2097222222,12.0188492064
36.0611111111,16.5666666667
38.0722222222,17.4611111111
49.1944444444,9.4722222222
43.2055555555,12.7666666667
57.3555555555,6.7666666667
60.8277777778,7.0777777778
63.5222222222,6.9722222222
66.5555555556,5.0277777778
63.4087301587,5.4277777778
65.4416666667,5.2813492064
68.2440476191,4.5416666667
67.8133699634,3.5833333333
68.0388888889,5.7027777778
64.4777777778,9.9428266178
58.55,11.7972222222
53.9833333333,11.1111111111
33.3888888889,19.4277777778
28.8888888889,19.8222222222
42.8888888889,12.2111111111
55.1,7.2277777778
61.0166666667,6.8722222222
62.4587301587,6.8083333333
64.2111111111,7.0722222222
66.4134920635,5.5111111111
67.255952381,4.6833333333
66.4222222222,4.2666666667
66.6162393162,4.6555555556
67.3476190476,3.9666666667
67.4206349206,5.8055555556
65.4756410256,9.5485653236
60.9833333333,10.7544871795
61.5611111111,9.2333333333
58.25,7.9277777778
53.2611111111,9.1333333333
50.6666666667,12.8511904762
50.1412698413,13.7898809524
50.0656593407,12.40625
63.4376984127,5.1888888889
64.3827838828,4.1722222222
68.3591269841,6.0198412698
64.7,10.1298229548
60.8666666667,11.4341269841
57.7317460317,9.7967643468
50.2833333333,10.8277777778
51.1123015873,11.1363247863
52.0317460318,8.1222222222
56.4277777778,6.8166666667
63.0468253968,6.1825396825
64,6.6
64.6055555556,6.6166666667
66.8563492064,5.1888888889
64.5501831502,4.1944444444
66.3666666667,4.7555555556
66.628968254,4.3333333333
66.5149954213,3.0079365079
67.1714285714,6.4
64.4166666667,9.7547619048
57.3555555556,12.0156898657
44.2158119658,15.617948718
35.8277777778,17.3388888889
34.221875,17.609375
55.4642857143,7.7
61.1722222222,6.2333333333
65.2833333333,5.9222222222
65.7277777778,6.65
65.2674603175,7.1329365079
65.2543650794,5.5722222222
66.0212454212,4.3345238095
65.9715506716,4.9777777778
66.2074481074,4.2444444444
66.4986111111,3.9333333333
64.2313492064,6.7055555556
33.3277777778,17.45
25.5222222222,20.6829365079
23.8055555556,21.3777777778
24.4305555556,21.5218253968
22.9111111111,21.8111111111
41.3984126984,11.3444444444
39.9833333334,11.6111111111
65.0503968254,4.9297619048
64.1867521368,4.8845238095
63.4847222222,3.9555555556
65.8841269841,6.4888888889
63.6547619048,10.1163003663
58.5213293651,11.7501144689
52.0678571429,12.8571428572
50.0611111111,11.4777777778
43.1666666667,13.7138888889
53.0670634921,9.3111111111
60.9936507937,6.6075396825
64.1579365079,6.3111111111
63.9777777778,6.3166666667
64.1130952381,6.2281746032
64.5226190476,5.5833333333
64.7638888889,4.6484126984
63.5031746032,4.5
65.0935744811,4.4388888889
61.9878205128,4.4944444444
66.1607142857,6.4726190476
64.0166666667,10.0861721612
57.0797619048,12.5788308913
49.6444444445,12.9333333333
30.75,19.9555555556
23.8799145299,22.2858974359
24.3428571429,21.8682539683
24.5400793651,22.3849206349
39.1222222222,14.3388888889
54.3777777778,8.7944444444
56.9196581197,8.3611111111
62.1361111111,6.6805555556
65.2944444445,5.2833333333
66.7027777778,4.8055555556
65.8264041514,4.7773809524
66.4045787546,4.4555555556
67.9611111111,6.1166666667
63.9166666667,9.8319139194
56.0488566989,12.419003219
43.9055555556,14.5777777778
32.25,18.0444444444
35.0777777778,17.6388888889
44.6801587302,10.9444444445
56.7444444445,6.85
63.7111111111,6.1222222222
64.7853174603,6.8111111111
64.9944444444,6.5055555556
64.1841269841,5.6055555556
65.9848290598,4.5143849206
66.5833333333,5.2944444444
65.8293650794,4.7253968254
66.2650793651,3.6611111111
66.9171855922,6.0222222222
64.1944444445,9.8936507936
56.8333333333,12.0355921856
42.5575396825,14.2126984127
31.1956349206,18.7734126984
36.7222222222,16.4646825397
24.3944444445,21.7166666667
50.3512820513,8.7277777778
55.3468253968,8.1166666667
57.5111111111,8.0333333333
64.6188492064,6.4555555556
64.5163194445,5.6392361111
64.7353174603,4.7757936508
62.5738705739,4.9777777778
62.2944444445,4.8111111111
64.7322344322,3.8166666667
67.3829059829,5.9384920635
63.7388888889,9.9503968254
52.95,12.9880952381
42.6666666667,14.6277777778
33.7777777778,16.5611111111
32.0555555556,17.6055555556
35.8888888889,16.2611111111
56.8593375375,6.8673222611
65.2611111111,5.9920634921
66.2888888889,6.6222222222
65.0706349206,6.9162698413
65.7388888889,5.5777777778
65.1666666667,4.2666666667
65.0863247863,4.7313492063
65.1984126984,4.4166666667
65.7059371184,4.0555555556
66.1833333333,6.244047619
64.275,9.6388888889
56.1777777778,12.2712301587
34.6888888889,18.75
35.0833333333,16.3888888889
31.5277777778,18.4277777778
44.4638888889,11.8722222222
60.871031746,6.1277777778
65.6388888889,6.3111111111
66.9333333333,6.0722222222
65.1055555556,6.7896825397
65.928968254,5.4791666667
66.7492063492,4.7833333333
64.7166666667,6.0055555556
65.8079365079,4.4111111111
64.0234432234,4.2349206349
66.9450206044,6.0874007937
63.75,9.8404761905
56.3055555555,13.1214285714
40.1388888889,16.5444444444
31.6333333333,19.2888888889
28.0388888889,20.8444444444
31.8388888889,16.6166666667
53.9666666667,7.8666666667
56.7444444445,7.8555555556
57.6444444445,7.1611111111
62.5888888889,7.5734126984
66.196031746,5.7055555556
66.083531746,4.5222222222
66.1128510379,4.4222222222
65.1103174603,4.8388888889
66.1667124542,4.1555555556
66.7572649573,5.4301587302
65.5333333333,9.4540903541
61.2666666667,10.7938912939
51.2518518519,12.2
47.3703703704,11.2444444444
47.1306878307,12.2312169312
49.6194444445,9.8972222222
53.9682539682,7.0814814815
65.3037037037,6.2592592593
64.5978835979,6.9714285714
65.8444444445,6.7111111111
65.419047619,5.6275132275
67.9592592593,4.6962962963
66.5873015873,5.1571428571
67.6290598291,4.2962962963
67.2111037111,3.9888888889
68.5333333333,6.3605820106
64.6370370371,9.9502238502
56.8790343915,12.8124542124
48.0916666667,12.6569444444
30.9777777778,17.8074074074
35.8370370371,14.0518518519
50.2,10.0148148148
55.5470899471,7.1291005291
65.4222222222,5.8555555556
64.4666666667,6.6333333333
64.4365079365,7.2074074074
68.3742775743,5.4393976394
66.3544973545,4.8169312169
66.7475783476,5.0814814815
66.6671957672,4.6343915344
66.165038665,4.4275132275
66.6777777778,6.5277777778
63.4119047619,10.1498473748
56.55,12.7503052503
39.5902777778,17.4
37.4555555556,17.0277777778
30.7944444444,19.1666666667
26.5222222222,19.5166666667
35.15,16.9281746032
58.7777777778,6.9388888889
51.1555555556,13.2611111111
49.8150793651,12.7829365079
64.6130952381,4.5611111111
65.4356227106,4.7333333333
67.3847832723,3.8252136752
66.8222222222,6.1222222222
63.5333333333,10.6551587301
56.1055555556,12.362973138
35.3055555555,18.2
29.348015873,19.3011904762
