,Date,Team 1 ID,Team 2 ID,winner
17592,2016Q3,6137,5973,6137
17604,2016Q3,4674,6896,4674
17866,2016Q3,4608,5752,4608
17867,2016Q3,4608,5752,5752
17868,2016Q3,4608,5752,4608
17869,2016Q3,5991,4991,4991
17870,2016Q3,5991,4991,4991
17904,2016Q3,6665,4494,4494
17905,2016Q3,6665,4494,4494
17924,2016Q3,5378,4411,5378
17925,2016Q3,5378,4411,5378
17794,2016Q3,5996,5752,5752
17978,2016Q3,6902,5395,5395
17980,2016Q3,6902,5395,6902
18024,2016Q3,6902,6134,6902
18025,2016Q3,6902,6134,6134
18026,2016Q3,6902,6134,6134
18040,2016Q3,6902,6896,6902
18041,2016Q3,6902,6896,6902
18115,2016Q3,4991,4608,4991
18116,2016Q3,4991,4608,4991
18130,2016Q3,4991,5378,5378
17979,2016Q3,6902,5395,6902
17793,2016Q3,5996,5752,5752
17758,2016Q3,5752,6736,5752
17757,2016Q3,5752,6736,5752
17605,2016Q3,4674,6896,6896
17606,2016Q3,4674,6896,6896
17639,2016Q3,6651,5378,5378
17640,2016Q3,6651,5378,5378
17641,2016Q3,6211,5988,6211
17642,2016Q3,6211,5988,6211
17664,2016Q3,6667,5974,6667
17665,2016Q3,6667,5974,5974
17666,2016Q3,6667,5974,6667
17667,2016Q3,5995,4494,4494
17668,2016Q3,5995,4494,5995
17669,2016Q3,5995,4494,4494
17678,2016Q3,6211,5378,5378
17679,2016Q3,6211,5378,5378
17717,2016Q3,4494,6667,6667
17718,2016Q3,4494,6667,4494
17719,2016Q3,4494,6667,4494
17720,2016Q3,5752,6792,5752
17721,2016Q3,5752,6792,5752
17732,2016Q3,6736,5005,6736
17733,2016Q3,6736,5005,6736
18948,2016Q3,5995,5991,5991
18949,2016Q3,5422,4411,5422
18415,2016Q3,6902,7059,7059
18954,2016Q3,4608,6137,4608
19283,2016Q3,7010,7099,7010
19285,2016Q3,6137,6211,6211
19287,2016Q3,6211,6137,6211
19288,2016Q3,5996,6615,6615
19289,2016Q3,5996,6615,5996
19290,2016Q3,5996,6615,6615
19299,2016Q3,6615,6680,6680
19300,2016Q3,6615,6680,6680
19303,2016Q3,6667,4591,6667
19282,2016Q3,6386,6673,6673
19304,2016Q3,6667,4591,6667
19313,2016Q3,7157,5005,7157
19314,2016Q3,5752,6117,5752
19316,2016Q3,6211,5973,6211
19320,2016Q3,7175,6386,7175
19323,2016Q3,5973,6211,6211
19324,2016Q3,6673,5974,5974
19325,2016Q3,6673,5974,6673
19326,2016Q3,6673,5974,5974
19351,2016Q3,7099,5974,5974
19312,2016Q3,6301,6736,6736
19280,2016Q3,6673,6386,6673
19279,2016Q3,7010,6673,7010
19277,2016Q3,4494,4411,4411
19223,2016Q3,6667,5929,6667
19224,2016Q3,6667,5929,6667
19227,2016Q3,4494,5422,4494
19228,2016Q3,4494,5422,5422
19229,2016Q3,4494,5422,4494
19232,2016Q3,5378,5422,5422
19236,2016Q3,5422,5378,5378
19239,2016Q3,4494,5995,4494
19240,2016Q3,5995,4494,5995
19241,2016Q3,7010,6211,7010
19242,2016Q3,6673,6137,6137
19243,2016Q3,6137,6673,6137
19244,2016Q3,6211,7010,7010
19246,2016Q3,7106,5752,5752
19247,2016Q3,6736,5974,5974
19248,2016Q3,5752,7106,5752
19252,2016Q3,5974,6736,6736
19270,2016Q3,6665,6667,6665
19271,2016Q3,6665,6667,6665
19274,2016Q3,5974,6673,6673
19275,2016Q3,4411,4494,4411
19352,2016Q3,6902,7193,6902
19206,2016Q3,6673,7106,6673
19358,2016Q3,6902,7194,6902
19362,2016Q3,7175,6736,7175
19452,2016Q3,5422,6665,6665
19453,2016Q3,5991,5988,5991
19454,2016Q3,5991,5988,5991
19459,2016Q3,6651,4494,4494
19460,2016Q3,6651,4494,4494
19467,2016Q3,7010,6680,7010
19468,2016Q3,7010,6680,6680
19469,2016Q3,7010,6680,7010
19472,2016Q3,6667,6665,6665
19451,2016Q3,5422,6665,6665
19473,2016Q3,6667,6665,6665
19479,2016Q3,7175,6680,7175
19480,2016Q3,6667,4494,6667
19481,2016Q3,6667,4494,6667
19486,2016Q3,5752,7010,7010
19487,2016Q3,5752,7010,5752
19488,2016Q3,5752,7010,7010
19489,2016Q3,6902,6667,6902
18953,2016Q3,4608,6137,4608
19490,2016Q3,6902,6667,6667
19478,2016Q3,7175,6680,7175
19450,2016Q3,5422,6665,5422
19440,2016Q3,5991,6665,6665
19439,2016Q3,5991,6665,5991
19368,2016Q3,7175,5752,7175
19369,2016Q3,7175,5752,5752
19370,2016Q3,7175,5752,5752
19371,2016Q3,5974,5752,5752
19372,2016Q3,5974,5752,5752
19376,2016Q3,6680,5005,5005
19377,2016Q3,6680,5005,6680
19378,2016Q3,6680,5005,6680
19387,2016Q3,7157,5005,5005
19388,2016Q3,7157,5005,5005
19397,2016Q3,7175,6615,6615
19398,2016Q3,7175,6615,7175
19399,2016Q3,7175,6615,7175
19400,2016Q3,6386,6301,6301
19401,2016Q3,6386,6301,6386
19402,2016Q3,6386,6301,6386
19408,2016Q3,7010,6736,7010
19409,2016Q3,7010,6736,7010
19421,2016Q3,6117,5005,5005
19422,2016Q3,6117,5005,5005
19438,2016Q3,5991,6665,6665
19359,2016Q3,5752,7157,5752
19205,2016Q3,6667,6665,6667
19350,2016Q3,7099,5974,5974
19203,2016Q3,6137,5973,5973
19011,2016Q3,5005,5752,5752
19012,2016Q3,7010,6301,7010
19013,2016Q3,7106,6615,6615
19014,2016Q3,4991,5995,5995
19015,2016Q3,6615,7106,6615
19017,2016Q3,4608,6137,6137
